2019/07/15 13:05:08
time, acc_x, acc_y, acc_z, vel_x, vel_y, vel_z, pos_x, pos_y, pos_z, rad_vel_x, rad_vel_y, rad_vel_z, rad_vel_LPF_x, rad_vel_LPF_y, rad_vel_LPF_z, rad_gyro_x, rad_gyro_y, rad_gyro_z, rad_mag_x, rad_mag_y, rad_mag_z, pos_step_gyro_x, pos_step_gyro_y, pos_step_mag_x, pos_step_mag_y, pos_step_x, pos_step_y
  0.078, -0.053, -0.141,  0.761,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.375, -0.466, -2.632,  1.058,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  2.498, -0.844, -0.314,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.467, -0.298, -4.160,  1.590,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.097, -0.743,  0.098,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.533, -0.264, -3.847,  1.736,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.043, -0.371,  0.170,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.592,  0.112, -2.978,  1.007,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.028, -0.364,  0.398,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.637, -0.865, -1.947,  1.481,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.158, -0.033,  0.098,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.683,  0.009, -2.109,  1.302,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.119, -0.092, -0.108,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.734, -0.201, -2.396,  1.988,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.279, -0.053, -0.005,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.775, -0.208, -2.160,  0.862,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.068, -0.156,  0.033,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.821, -0.492, -1.683,  0.554,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.142, -0.171, -0.044,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.859, -0.407, -1.900,  1.314,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.065, -0.463, -0.042,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.901,  0.224, -1.559,  1.204,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.028, -0.400,  0.108,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.937, -0.401, -1.418,  0.685,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.073, -0.183,  0.059,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.972, -0.433, -1.493,  0.421,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.075, -0.104,  0.100,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.005, -0.276, -1.308,  0.821,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.002, -0.362,  0.208,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.036, -0.553, -1.182,  0.348,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.064, -0.461,  0.275,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.068,  0.077, -1.012,  0.461,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.054, -0.461,  0.332,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.098,  0.849, -1.042, -0.145,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.087, -0.379,  0.264,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.128,  0.141, -0.518, -0.200,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.011, -0.276,  0.153,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.157,  0.308, -0.617, -0.031,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.086, -0.313,  0.056,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  1.187,  0.276, -0.457, -0.125,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.121, -0.260, -0.018,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
