time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
0.002, -1.95, 1.834, 1.691
0.031, -4.908, 1.785, 1.509
0.059, -5.616, 0.74, 0.693
0.088, -6.909, -5.242, -6.598
0.119, -0.104, -1.453, -0.137
0.148, 1.643, 3.346, -2.646
0.177, -0.085, 2.523, -2.153
0.204, -2.388, -2.421, -2.046
0.234, -1.797, -1.714, -0.745
0.263, 2.09, -0.375, -0.03
0.292, 3.153, -0.1, 0.227
0.322, 3.411, -0.491, 0.387
0.352, 2.633, -0.887, 0.93
0.381, 3.32, -0.634, 0.697
0.412, 2.416, -0.811, -0.026
0.44, 0.878, -1.424, 0.323
0.47, 0.618, 0.629, 2.133
0.499, 0.61, -0.161, 2.883
0.527, -5.578, 0.229, 2.288
0.557, -6.524, 1.377, 3.072
0.587, -4.784, 6.562, -3.927
0.617, 0.476, -0.679, -2.986
0.647, 1.578, -4.218, -3.992
0.676, -0.118, -3.296, -4.158
0.704, -2.402, 0.914, -0.615
0.732, -1.3, 0.734, 0.335
0.76, 0.582, 0.491, 0.591
0.793, 5.363, 0.815, 1.589
0.827, 4.789, 0.297, 1.215
0.862, 5.207, 1.056, 1.03
0.893, 3.867, 0.098, 1.316
0.921, 2.124, -0.146, 1.393
0.95, -0.824, 0.264, 1.241
0.977, -1.709, 0.641, 1.805
1.005, -7.282, 0.352, 1.822
1.035, -5.381, 0.012, 1.937
1.062, -3.216, -6.789, -3.246
1.092, 2.103, 0.885, -2.839
1.119, 4.35, 1.67, -0.805
1.148, -2.142, 1.084, -2.832
1.177, -0.6, -1.468, -2.544
1.204, 1.042, -1.029, -0.842
1.232, 2.177, -1.019, 0.126
1.262, 4.063, -0.073, 0.929
1.289, 4.411, -0.628, 0.844
1.315, 3.665, -1.35, 1.095
1.351, 3.395, -0.785, 0.749
1.378, 2.582, -1.18, 0.39
1.406, -0.877, -0.23, 1.676
1.435, -0.9, 0.816, 2.566
1.466, -3.668, -1.209, 2.873
1.502, -6.344, -0.691, 3.017
1.528, -5.756, 2.804, -3.4
1.559, -2.056, 6.245, -4.596
1.588, 2.342, -4.495, -4.053
1.617, -0.284, -3.701, -5.296
1.647, -2.716, 1.773, -1.893
1.675, -2.776, 0.099, -0.779
1.703, 0.033, 0.448, 0.717
1.734, 3.484, 0.786, 1.202
1.763, 5.279, 0.847, 2.021
1.792, 5.871, 0.399, 1.407
1.82, 6.646, 0.67, 1.14
1.853, 4.361, 0.389, 1.028
1.885, 0.333, 0.29, 1.533
1.916, -0.923, -0.191, 1.324
1.946, -6.63, 1.125, 2.113
1.974, -8.345, 0.499, 2.401
2.003, -10.267, -2.282, -9.084
2.037, -3.685, -8.707, -4.205
2.066, 5.678, 1.588, 1.462
2.093, 2.196, 6.503, -2.833
2.121, 0.564, 2.729, -2.517
2.154, -1.165, -3.873, -1.98
2.183, 1.552, 0.091, 0.217
2.212, 3.113, 1.613, 0.578
2.241, 4.891, -0.548, 0.357
2.27, 3.132, -2.168, 0.504
2.302, 2.454, -1.315, 0.555
2.334, 2.515, -1.066, 0.998
2.362, -1.02, 0.775, 2.402
2.39, -0.918, 2.076, 3.288
2.422, -3.33, -2.279, 2.083
2.453, -5.641, -3.025, 2.339
2.485, -4.634, 0.744, -0.545
2.517, -4.017, 3.32, -7.302
2.549, 2.259, -3.11, -3.047
2.58, 0.038, -2.881, -4.348
2.613, -1.729, -2.175, -2.112
2.644, -1.079, 0.16, 0.151
2.675, 0.378, 0.313, 0.483
2.702, 6.027, 1.186, 1.321
2.729, 6.098, 1.45, 2.07
2.755, 4.559, 0.066, 1.484
2.782, 5.088, -0.532, 1.189
2.81, 4.165, 0.199, 1.379
2.842, 1.727, 0.373, 1.221
