               datetime,    accX,    accY,    accZ
2019/09/12 13:56:53.611, -0.1146,  0.1119,  0.1505
2019/09/12 13:56:53.700, -0.5892,  0.3387,  0.4277
2019/09/12 13:56:53.705,  0.1166, -0.0770,  0.0728
2019/09/12 13:56:53.711,  0.1166, -0.0770,  0.0728
2019/09/12 13:56:53.716,  0.1166, -0.0770,  0.0728
2019/09/12 13:56:53.826, -0.3026,  0.1512,  0.4727
2019/09/12 13:56:53.832, -0.6460,  0.3728,  0.5002
2019/09/12 13:56:53.842, -0.6460,  0.3728,  0.5002
2019/09/12 13:56:53.848, -0.5133,  0.2978,  0.5038
2019/09/12 13:56:53.854, -0.5133,  0.2978,  0.5038
2019/09/12 13:56:53.873, -0.0820,  0.0193,  0.2077
2019/09/12 13:56:53.880, -0.0820,  0.0193,  0.2077
2019/09/12 13:56:53.885, -0.5871,  0.3506,  0.1187
2019/09/12 13:56:53.890, -0.5871,  0.3506,  0.1187
2019/09/12 13:56:53.896, -0.5871,  0.3506,  0.1187
2019/09/12 13:56:53.901, -0.5871,  0.3506,  0.1187
2019/09/12 13:56:53.922, -0.4990,  0.2485,  0.2639
2019/09/12 13:56:53.929, -0.6921,  0.2583,  0.2404
2019/09/12 13:56:53.936, -0.6921,  0.2583,  0.2404
2019/09/12 13:56:53.941, -0.6921,  0.2583,  0.2404
2019/09/12 13:56:53.959, -0.4766, -0.1673,  0.0032
2019/09/12 13:56:53.986, -0.2501, -0.2491, -0.2696
2019/09/12 13:56:53.993, -0.2501, -0.2491, -0.2696
2019/09/12 13:56:54.010, -0.3453, -0.0107,  0.1672
2019/09/12 13:56:54.035, -0.6079,  0.1838,  0.4059
2019/09/12 13:56:54.053, -0.5205,  0.1349,  0.1606
2019/09/12 13:56:54.069, -0.3482,  0.1704, -0.0221
2019/09/12 13:56:54.087, -0.4300,  0.1404,  0.0556
2019/09/12 13:56:54.104, -0.4300,  0.1404,  0.0556
2019/09/12 13:56:54.121, -0.3637,  0.1038,  0.2556
2019/09/12 13:56:54.140, -0.3891, -0.0834,  0.3025
2019/09/12 13:56:54.163, -0.5047,  0.0855,  0.4695
2019/09/12 13:56:54.188, -0.6235,  0.1529, -0.0597
2019/09/12 13:56:54.203, -0.4233,  0.3804, -0.0013
2019/09/12 13:56:54.219, -0.5132,  0.2903,  0.2667
2019/09/12 13:56:54.240, -1.2925, -0.6494,  0.1908
2019/09/12 13:56:54.259, -1.7038, -0.1812, -0.1219
2019/09/12 13:56:54.280, -1.3867, -0.0938,  0.1650
2019/09/12 13:56:54.304, -1.2130, -0.4723,  0.1974
2019/09/12 13:56:54.320, -0.7401, -0.3493,  1.0778
2019/09/12 13:56:54.340, -0.6297, -0.1503,  1.1186
